line_item,chf_million
Management fees and other revenues,1507.8
Performance fees,510.5
Other operating income,117.3
Personnel expenses,-658.4
Other operating expenses,-119.8
EBITDA,1357.4
Depreciation and amortization,-48.6
EBIT,1308.8
Finance income,120.9
Finance expense,-59.8
Profit before tax,1369.9
Income tax expenses,-242.2
Profit for the period,1127.7
Dividend per share (CHF),42.00
Basic earnings per share (CHF),43.40
AuM Private equity (USD bn),77.6
AuM Private credit (USD bn),31.5
AuM Infrastructure (USD bn),27.4
AuM Real estate (USD bn),15.6
AuM Royalties (USD bn),0.2
AuM total (USD bn),152.3
Performance fees Private equity,335
Performance fees Private credit,49
Performance fees Infrastructure,120
Performance fees Real estate,7
Performance fees Royalties,0
